scenario_id,network_label,policy_label,n,p_high,t_high_mean,X_mean,X_std,cluster_max_mean,cost_mean,p_high_per_cost,ineffective,inefficient
0,erdos_renyi,subsidy:da00.3:s10:d25,20,0.95,3.789473684210526,0.9528333333333332,0.2007508566177204,285.55,7.5,0.12666666666666665,False,False
0,erdos_renyi,subsidy:da00.3:s10:d50,20,0.95,3.5789473684210527,0.9488333333333333,0.22334321790118483,284.4,15.0,0.06333333333333332,False,True
0,erdos_renyi,subsidy:da00.3:s25:d10,20,1.0,3.4,0.9984999999999999,0.0017013926184467724,299.3,3.0,0.3333333333333333,False,False
0,erdos_renyi,subsidy:da00.3:s25:d25,20,0.95,3.0,0.9593333333333334,0.17638209454152026,287.6,7.5,0.12666666666666665,False,False
0,erdos_renyi,subsidy:da00.3:s25:d50,20,0.85,4.176470588235294,0.8593333333333334,0.338843233431192,257.5,15.0,0.056666666666666664,False,True
0,erdos_renyi,subsidy:da00.6:s0:d10,20,1.0,1.3,0.9988333333333334,0.002483866067901997,299.5,6.0,0.16666666666666666,False,False
0,erdos_renyi,subsidy:da00.6:s0:d25,20,1.0,1.25,0.9984999999999999,0.0022877758038441945,299.15,15.0,0.06666666666666667,False,True
0,erdos_renyi,subsidy:da00.6:s0:d50,20,1.0,1.3,0.9978333333333333,0.0029169799330514144,299.1,30.0,0.03333333333333333,False,True
0,erdos_renyi,subsidy:da00.6:s10:d10,20,0.95,3.789473684210526,0.9515,0.21219949512426778,285.25,6.0,0.15833333333333333,False,False
0,erdos_renyi,subsidy:da00.6:s10:d25,20,0.9,4.055555555555555,0.9033333333333333,0.29024490566271427,270.75,15.0,0.060000000000000005,False,True
0,erdos_renyi,subsidy:da00.6:s10:d50,20,0.95,4.157894736842105,0.9484999999999999,0.2232651768218379,284.25,30.0,0.03166666666666666,False,True
0,erdos_renyi,subsidy:da00.6:s25:d10,20,1.0,4.1,0.999,0.001567207819938751,299.45,6.0,0.16666666666666666,False,False
0,erdos_renyi,subsidy:da00.6:s25:d25,20,0.95,3.9473684210526314,0.9523333333333334,0.208472865554524,285.5,15.0,0.06333333333333332,False,True
0,erdos_renyi,subsidy:da00.6:s25:d50,20,1.0,5.5,0.9986666666666666,0.0019941434720537154,299.4,30.0,0.03333333333333333,False,True
