run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,X0,I0_grid,beta_I_grid,low_adoption
64,187,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
65,188,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
66,189,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
67,190,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
68,191,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
69,192,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
70,193,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
71,194,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
72,195,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
73,196,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
74,197,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
75,198,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
76,199,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
77,200,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
78,201,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
79,202,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
80,203,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
81,204,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
82,205,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
83,206,erdos_renyi,"{""p"": 0.05}",300,1.9000000000000001,2.2,2.0,1.0,0.08,0.15000000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.138,0,,,0,0,0.0,0.0,0.15000000000000002,2.0,1
84,207,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
85,208,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
